,Date,Nom de l'activité,Description
50,21 Juil 2022,Stretching,"Tous les mardis et jeudis, du 5 juillet au 25 août 2022 Gymnastique douce basée sur des étirements des fibres musculaires. * En cas de pluie la séance se déroulera au gymnase."
51,21 Juil 2022,Découverte du Tir à l’arc,
52,21 Juil 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
53,21 Juil 2022,Balade en calèche,Embarquez en calèche et profitez d’une visite commentée d’Agon-Coutainville. Le parcours sillonnera le bord de mer et vous transportera dans la bucolique campagne coutainvillaise ! Inscription ...
54,22 Juil 2022,Journée des Gamers,"Pour la 4e année, Agon-Coutainville organise non pas un tournoi mais deux tournois sur écran géant !   à partir de 9h Tournoi FiFa sur PS5   à partir de 14h Tournoi Mario Kart sur Nintendo ..."
55,22 Juil 2022,Cours de Skimboard,Initiation sur la plage au bord de l’eau.
56,23 Juil 2022,Animation culinaire et dégustation,avec François Eustace Champion de France 45es WorldSkills Competition Finales Nationales Normandie 2018 Médaille d’Excellence aux EuroSkills Budapest 2018
57,23 Juil 2022/24 Juil 2022,RONQUE’T CUP,Régate estivale du club nautique.
58,24 Juil 2022,Courses hippiques,
59,24 Juil 2022,Journée Glisse & Environnement,"Au programme : 10h-18h Skimboard tous niveaux Exposition « Respecte Ta Plage » Présence du SMEL, l’APP2R, Le GONE ; le GMN ; AVRIL, Surfrider Foundation, CPIE   18h30 Concert avec Paulo et ..."
60,25 Juil 2022/29 Juil 2022,STAGE CIRQUE,"L’école de cirque du cotentin Barba’Sousa accueille les enfants de 5 à 12 ans. Uniquement sur inscription. Rendez-vous rue Fernand Lechanteur, derrière les écoles."
61,25 Juil 2022/29 Juil 2022,Réveil musculaire,"Du 4 juillet au 26 août, du lundi au vendredi. Gymnastique et détente musculaire. Accessible à tous niveaux. Pensez à prendre quelques affaires : Short/jogging Tapis de gym/serviette Gourde/ ..."
62,26 Juil 2022,Balade en calèche,Embarquez en calèche et profitez d’une visite commentée d’Agon-Coutainville. Le parcours sillonnera le bord de mer et vous transportera dans la bucolique campagne coutainvillaise ! Inscription ...
